+-------+--------+-----------+-----------+------------+-----------+-----------+---------+-----------+---------+-----------+-------------------+-------------+----------------------+--------+------------+----+
| uid   | active | announced | completed | downloaded | remaining | uploaded  | upspeed | downspeed | corrupt | timespent | useragent         | connectable | peer_id              | fid    | mtime      | ip |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427270 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  16763 | 1510413429 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427953 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  16770 | 1510414112 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427299 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  17567 | 1510413457 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427761 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  17679 | 1510413914 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429643 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  17742 | 1510415802 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428560 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  18457 | 1510414711 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427902 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  19405 | 1510414059 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427612 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  19716 | 1510413772 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427579 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  20039 | 1510413728 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427091 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  20523 | 1510413246 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429637 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  20680 | 1510415795 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428296 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  21225 | 1510414454 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |   1114112 |       0 |         0 |       0 |    428230 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  21426 | 1510414390 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427694 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  21514 | 1510413850 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |  29884416 |       0 |         0 |       0 |    427199 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  22187 | 1510413359 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427389 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  22528 | 1510413553 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427378 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  22663 | 1510413537 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427959 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  22703 | 1510414120 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427346 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  22742 | 1510413504 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427723 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  24014 | 1510413882 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427654 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  24964 | 1510413816 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429637 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  26043 | 1510415799 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427653 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  27589 | 1510413812 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427076 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  27877 | 1510413227 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428767 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  28171 | 1510414915 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429589 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  28425 | 1510415748 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428079 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  28862 | 1510414228 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427533 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  29618 | 1510413691 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429502 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  29722 | 1510415664 |    |
| 10095 |      1 |       158 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427192 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  30123 | 1510413352 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    426994 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  30213 | 1510413156 |    |
| 10095 |      1 |       160 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    429611 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  30755 | 1510415773 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427978 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  34554 | 1510414139 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    428626 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  34704 | 1510414782 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |         0 |       0 |         0 |       0 |    427248 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  35016 | 1510413411 |    |
| 10095 |      1 |       159 |         0 |          0 |         0 |  78741504 |       0 |         0 |       0 |    427588 | Deluge 1.3.15     |           1 | -DE13F0-oIa8X3)-CEe! |  35787 | 1510413751 |    |
